-0.406769    0.017598    -2.169962    1.171792    0.714125    
497.751316    0.307404    12268.285367    6.541234    1.321077    
[-22.717,21.904]     [-0.537,0.572]     [-112.932,108.592]     [-1.386,3.729]     [-0.435,1.864]     

0.066101    0.012824    12.360992    0.610988    0.383070    
817.540405    0.166539    1415407.458169    3.611419    0.783232    
[-28.527,28.659]     [-0.395,0.421]     [-1177.348,1202.070]     [-1.289,2.511]     [-0.502,1.268]     

0.389569    0.008266    187.666632    0.408303    0.256495    
1558.741061    0.111877    253358070.603075    2.491450    0.555063    
[-39.091,39.870]     [-0.326,0.343]     [-15729.559,16104.892]     [-1.170,1.987]     [-0.489,1.002]     

