0.021686    0.016066    0.029850    0.323454    0.252469    
0.094406    0.062920    0.387307    0.118717    0.077153    
[-0.286,0.329]     [-0.235,0.267]     [-0.592,0.652]     [-0.021,0.668]     [-0.025,0.530]     

0.011413    0.009361    -0.003333    0.170104    0.137291    
0.052179    0.034450    0.396984    0.088008    0.055005    
[-0.217,0.240]     [-0.176,0.195]     [-0.633,0.627]     [-0.127,0.467]     [-0.097,0.372]     

0.007678    0.006157    -0.002708    0.113830    0.092189    
0.035132    0.023155    0.394894    0.065317    0.040935    
[-0.180,0.195]     [-0.146,0.158]     [-0.631,0.626]     [-0.142,0.369]     [-0.110,0.295]     

