-0.004936    0.003284    -0.010480    0.309287    0.272969    
0.095051    0.133962    0.189666    0.117504    0.109550    
[-0.313,0.303]     [-0.363,0.369]     [-0.446,0.425]     [-0.034,0.652]     [-0.058,0.604]     

-0.002657    0.001938    -0.003071    0.161612    0.150161    
0.052512    0.075110    0.144026    0.086693    0.076079    
[-0.232,0.226]     [-0.272,0.276]     [-0.383,0.376]     [-0.133,0.456]     [-0.126,0.426]     

-0.001369    0.001646    0.000738    0.108424    0.101287    
0.035353    0.050633    0.114652    0.063879    0.055908    
[-0.189,0.187]     [-0.223,0.227]     [-0.338,0.339]     [-0.144,0.361]     [-0.135,0.338]     

