10.008600    9.842000    10.321000    10.958500    10.776500    
0.980566    1.356036    1.933459    1.373528    1.199631    
[9.018,10.999]     [8.678,11.006]     [8.931,11.711]     [9.787,12.130]     [9.681,11.872]     

10.006745    9.857750    10.630750    10.463250    10.363410    
0.538551    0.774890    1.564529    1.013024    0.828772    
[9.273,10.741]     [8.977,10.738]     [9.380,11.882]     [9.457,11.470]     [9.453,11.274]     

10.004782    9.903833    10.972667    10.307500    10.198489    
0.362202    0.522169    1.500086    0.724527    0.610619    
[9.403,10.607]     [9.181,10.626]     [9.748,12.197]     [9.456,11.159]     [9.417,10.980]     

