-0.001668    -0.009678    0.002822    0.311031    0.307916    
0.103376    0.226110    0.046478    0.134163    0.160039    
[-0.323,0.320]     [-0.485,0.466]     [-0.213,0.218]     [-0.055,0.677]     [-0.092,0.708]     

0.000603    -0.002728    0.001288    0.165904    0.173877    
0.056689    0.128471    0.023543    0.095456    0.108144    
[-0.237,0.239]     [-0.361,0.356]     [-0.152,0.155]     [-0.143,0.475]     [-0.155,0.503]     

0.000897    -0.000866    0.000909    0.111858    0.117782    
0.038133    0.086725    0.015697    0.069972    0.079081    
[-0.194,0.196]     [-0.295,0.294]     [-0.124,0.126]     [-0.153,0.376]     [-0.163,0.399]     

